,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
59,60,1905,1.0,,,,,1,1,,,,0,Mexico,REVILLAGIGEDONanISLANDS,19.0,-113.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX
60,61,1905,2.0,26.0,6.0,22.0,,2,2,,,,0,New Zealand,N.NanNEWNanZEALAND,-40.5,175.0,,1,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,NZL
61,62,1905,3.0,19.0,,,,2,1,,,,0,Vanuatu,MALONanPASS,,,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,VUT
62,63,1905,4.0,4.0,0.0,50.0,,0,1,7.8,,,0,India,"KANGRA,NanINDIA",33.0,76.0,,1,,,,,,,,,,,,,,,,19000.0,4.0,,,,,,4.0,,,,,IND
63,64,1905,7.0,4.0,,,,4,8,,,,0,Usa,"DISENCHANTMENTNanBAY,NanAK",60.0,-139.58,33.53,4,,5.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,USA
64,65,1905,7.0,6.0,16.0,21.0,0.0,3,1,7.0,,,0,Japan,JAPAN:NanNanOFFNanFUKUSHIMA,37.4,142.6,,1,,-1.0,,57.0,2.0,,,,,,,,,,,57.0,2.0,,,,,,,,,,,JPN
65,66,1905,8.0,4.0,,,,2,6,,2068.0,,0,Samoa,MATAVANUNanVOLCANO,-13.612,-172.525,,0,,,0.5,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,WSM
66,67,1905,8.0,,,,,0,8,,,,0,Canada,THOMPSONNanRIVER,50.42,-121.35,6.0,0,,,,15.0,1.0,,,,,,2.0,,1.0,,,15.0,1.0,,,,,,2.0,,1.0,,,CAN
67,68,1905,9.0,8.0,1.0,43.0,11.0,4,1,7.1,,,0,Italy,TYRRHENIANNanCALABRIA,38.67,16.07,1.3,0,,,4.0,,,,,,,,,,,,,557.0,3.0,,,2000.0,4.0,,4.0,6700.0,4.0,,,ITA
68,69,1905,10.0,4.0,22.0,29.0,,4,1,5.1,,,0,Russia,BLACKNanSEA,44.5,37.5,0.5,1,,-1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,70,1905,10.0,21.0,11.0,1.0,37.0,1,1,7.5,,,0,Georgia,CAUCASUS,42.0,42.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO
70,71,1905,11.0,8.0,22.0,6.0,11.8,3,3,7.2,,,0,Greece,NORTHNanAEGEANNanSEA,40.092,24.627,3.0,1,,,,5.0,1.0,,,,,,2.0,,,,,11.0,1.0,,,,,,2.0,,,,,GRC
71,72,1905,11.0,22.0,,,,2,1,,,,0,Vanuatu,PORTNanVILA,-17.7,168.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,VUT
72,73,1905,11.0,24.0,,,,2,1,,,,0,Vanuatu,PORTNanVILA,-17.7,168.3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,VUT
73,74,1905,12.0,8.0,8.0,22.0,,1,1,6.5,,,0,Philippines,W.NanLUZONNanISLAND,11.0,123.5,,1,,-0.5,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,PHL
74,75,1905,,,,,,2,1,,,,0,Tunisia,BALEARICNanSEA,37.3,9.9,,1,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,TUN
75,76,1905,,,,,,1,0,,,,0,Togo,GOLDNanCOAST,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGO
76,77,1906,1.0,31.0,15.0,36.0,10.0,4,1,8.8,,,0,Ecuador,OFFNanCOAST,0.955,-79.369,5.0,58,,1.0,3.0,1000.0,3.0,,,,,,3.0,,3.0,,,1000.0,3.0,,,,,,3.0,,3.0,,,ECU
77,78,1906,1.0,31.0,,,,4,1,,,,0,Venezuela,CARACAS,10.5,-66.916,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79,1906,2.0,7.0,,,,4,1,,,,0,Ecuador,COLOMBIA-ECUADOR,1.0,-81.0,0.25,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,ECU
79,80,1906,2.0,21.0,,,,3,1,,,,0,Colombia,BUENAVENTURA,3.9,-77.033,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL
80,81,1906,4.0,4.0,,,,4,6,,1344.0,,0,Italy,TYRRHENIANNanSEA,40.821,14.426,0.4,0,,,3.0,,,,,,,,,,,,,350.0,3.0,,,300.0,3.0,,,,,,,ITA
