,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,MaximumNanWaterNanHeightNan(m),TotalNanDeaths,TsunamiNanIntensity,NumberNanofNanRunups
630,1,5.3,0.9,,,0
631,1,6.3,0.4,,-2.0,1
632,6,,0.3,,-2.0,13
633,1,7.7,30.0,56.0,5.0,100
634,1,6.8,10.0,,,1
635,1,6.5,,,-1.0,1
636,1,5.8,1.2,,2.0,1
637,1,7.0,,,,0
638,1,8.6,32.0,2.0,3.0,332
639,1,7.3,1.8,,,2
640,1,7.9,1.3,65.0,0.5,3
641,1,7.0,,,,0
642,1,5.5,0.7,,,0
643,1,6.0,,,0.0,1
644,9,,0.1,,-3.0,5
645,0,,2.7,,,2
646,1,7.6,,115.0,2.0,3
647,1,6.2,,,,1
648,1,,,,1.5,0
649,1,6.5,,,0.5,0
650,3,7.8,524.6,5.0,5.0,17
651,1,5.0,0.23,,-1.0,1
652,6,,,,0.0,1
653,1,6.1,0.1,,,1
654,1,8.3,5.0,,2.5,60
655,1,7.0,1.0,,-1.0,8
656,1,6.8,0.8,,-2.0,9
657,1,7.4,0.4,,-2.0,1
658,0,,1.0,,3.0,4
659,1,5.0,0.1,,-2.0,1
660,1,8.2,0.2,,1.0,7
661,8,,4.0,9.0,4.0,1
662,1,7.3,1.0,,,5
663,3,7.5,1.0,28.0,,1
664,1,6.5,,,,0
665,1,6.7,0.11,,-4.0,8
666,1,7.8,5.7,,3.0,1
667,1,6.8,,13100.0,,1
668,1,7.5,1.0,,-2.0,19
669,1,6.7,0.75,,-2.5,12
670,1,8.2,0.5,,-1.0,7
671,1,9.5,25.0,2226.0,4.0,1279
672,0,6.7,,,,0
673,1,6.6,,,0.0,1
674,1,6.7,0.3,,-3.0,5
675,1,7.4,,,,0
676,1,6.8,9.0,66.0,4.0,19
677,1,6.8,0.4,,-2.0,5
678,1,6.4,0.4,,-2.0,2
679,1,6.5,0.4,,-2.0,4
680,1,6.6,1.0,,-0.5,5
681,1,7.6,0.65,2.0,-0.5,34
682,1,,3.6,,,2
683,1,6.4,,,2.0,0
684,9,,0.9,,2.0,3
685,2,6.5,,,,1
686,1,6.6,0.2,,-3.0,6
687,1,7.3,0.9,,-0.5,2
688,1,6.4,0.9,,,0
689,1,7.0,0.1,,-4.0,9
690,1,6.5,,,,0
691,1,6.5,,,,0
692,1,6.9,0.1,,-3.5,9
693,1,6.1,0.04,1.0,,1
694,1,6.8,0.1,,,2
695,1,7.2,1.0,,-2.0,12
696,1,7.0,0.1,,-3.5,10
697,1,7.0,0.81,4.0,0.0,1
698,1,7.2,0.34,3.0,,1
699,1,5.7,0.1,,-2.0,1
700,1,4.5,,,,1
701,1,6.5,,,,1
702,8,,6.0,2.0,5.0,9
703,1,7.3,0.2,15.0,-2.0,2
704,0,,5.5,1.0,,7
705,6,,,1028.0,2.0,2
706,1,6.2,1.0,1.0,3.0,1
707,1,7.0,,1.0,,0
708,8,,235.0,2000.0,,6
709,1,7.1,0.12,,-2.0,3
710,1,8.5,4.5,,2.5,90
711,1,7.9,15.0,,3.0,22
712,1,6.6,,,0.0,1
713,1,7.2,,,0.5,1
714,0,,0.08,,,1
715,3,9.2,51.8,139.0,3.5,426
716,3,7.0,,,0.0,1
717,1,6.9,0.6,,0.0,35
718,1,6.6,,,-3.0,2
719,8,,0.28,,,11
720,1,7.5,5.8,26.0,2.0,168
721,1,6.8,0.08,,-2.0,5
722,1,7.6,0.05,,,1
723,1,6.3,0.1,,-3.0,4
724,1,7.6,,71.0,2.0,4
725,8,,,1.0,,1
726,1,8.7,10.7,,2.5,83
727,7,,60.0,27.0,,1
728,1,7.0,,,,0
729,1,6.3,,38.0,,2
730,1,6.0,,,,0
731,1,7.6,0.1,,-1.0,3
732,1,6.0,0.1,,-4.0,2
733,1,7.2,0.1,,-3.0,6
734,1,6.5,0.08,,-2.0,3
735,3,6.1,3.0,2.0,2.0,2
736,1,7.0,7.0,,2.5,4
737,1,7.3,2.0,,1.0,1
738,1,7.8,0.4,6.0,,1
739,6,,4.7,355.0,,1
740,1,6.5,,,,0
741,6,,,,,0
742,1,7.6,0.1,7.0,0.0,5
743,8,,6.0,,3.0,0
744,1,7.1,0.2,,1.0,3
745,1,5.5,0.2,,1.0,7
746,1,8.1,3.0,110.0,1.5,60
747,0,,,,-0.5,1
748,1,7.8,0.42,3.0,0.5,13
749,1,7.8,2.0,,1.0,7
750,1,7.2,0.8,,0.0,1
751,6,,,,,0
752,1,7.0,,,,0
753,1,5.5,,71.0,1.0,2
754,1,6.1,,14.0,1.5,1
755,1,6.6,0.08,300.0,,1
756,1,6.4,0.1,,,1
757,1,7.0,2.0,,-1.5,2
758,8,,60.0,,,1
759,1,5.9,,,,0
760,6,,1.0,,0.0,1
761,9,,,,,6
762,1,7.5,,1.0,0.0,1
763,1,7.3,0.18,,-1.0,17
764,1,7.2,1.2,20.0,3.0,3
765,1,7.5,3.07,1.0,1.0,62
766,1,4.6,3.0,,2.0,1
767,0,,,,,1
768,1,8.2,6.0,52.0,2.0,329
769,1,7.5,0.58,,-0.5,8
770,1,7.2,0.95,,0.0,28
771,1,7.3,0.05,,,1
772,1,7.3,0.16,270.0,,40
773,1,7.3,,18.0,,1
774,1,6.5,0.03,,0.0,1
775,1,7.6,0.4,,1.0,22
776,1,7.8,10.0,200.0,2.5,7
777,1,6.6,3.0,24.0,,2
778,1,6.5,,3.0,,1
779,1,6.1,2.0,20.0,1.0,0
780,1,7.0,4.0,664.0,2.0,5
781,1,7.8,0.9,25.0,,19
782,6,,,3.0,,1
783,1,7.0,,2.0,,1
784,8,,5.0,,,1
785,1,6.5,0.1,,-3.0,6
786,0,,0.06,,,4
787,1,7.4,0.1,10.0,,3
788,3,5.4,,,-1.0,1
789,1,8.2,5.0,,2.0,75
790,9,,2.9,,,15
791,1,7.7,15.0,,3.0,16
